time,tau1,tau2,tau3,Fx,Fy,ee_x,ee_y,target_x,target_y,ex,ey,ex_mm,ey_mm,in_contact,contact_state
25.27000000000115,8.681325817771855,4.894184167142623,0.6508522250838774,0.0,0.0,0.5498015084089952,0.09309923774631088,0.5492197904738475,0.09223066878722014,-0.0005816912978990896,-0.0009682640453068936,0.5816912978990896,0.9682640453068936,0,INSERTION
25.280000000001152,8.682420672548643,4.893865275273737,0.6507142704338531,0.0,0.0,0.5498015654382828,0.09299945811817026,0.5492197904738475,0.09213066878722014,-0.0005817179351477186,-0.0009685689590907404,0.5817179351477186,0.9685689590907404,0,INSERTION
25.290000000001154,8.683506247856734,4.89354097221023,0.6505758617833576,0.0,0.0,0.5498016474912122,0.09289960568474684,0.5492197904738475,0.09203066878722013,-0.0005817749644353443,-0.0009687893309501261,0.5817749644353443,0.9687893309501261,0,INSERTION
25.300000000001155,8.684581979992087,4.893211272256132,0.6504370322858358,0.0,0.0,0.5498017495606364,0.09279969115849299,0.5492197904738475,0.09193066878722013,-0.0005818570173646842,-0.0009689368975267093,0.5818570173646842,0.9689368975267093,0,INSERTION
25.310000000001157,8.68564758426297,4.892876275249862,0.6502978127080352,0.0,0.0,0.5498018670409391,0.09269972424169612,0.5492197904738475,0.09183066878722013,-0.0005819590867889302,-0.0009690223712728596,0.5819590867889302,0.9690223712728596,0,INSERTION
25.32000000000116,8.686703008619418,4.892536149392838,0.6501582316830722,0.0,0.0,0.5498019957519145,0.09259971365438649,0.5492197904738475,0.09173066878722012,-0.0005820765670916384,-0.000969055454475995,0.5820765670916384,0.969055454475995,0,INSERTION
25.33000000000116,8.68774839172747,4.8921911160047,0.6500183159196846,0.0,0.0,0.5498021319490436,0.09249966717319938,0.5492197904738475,0.09163066878722012,-0.0005822052780669607,-0.0009690448671663687,0.5822052780669607,0.9690448671663687,0,INSERTION
25.34000000000116,8.68878402541042,4.891841436123551,0.6498780903758496,0.0,0.0,0.5498022723226683,0.09239959167860326,0.5492197904738475,0.09153066878722012,-0.0005823414751960909,-0.0009689983859792611,0.5823414751960909,0.9689983859792611,0,INSERTION
25.350000000001163,8.689810321314438,4.891487398849891,0.6497375784031061,0.0,0.0,0.5498024139882831,0.09229949320822103,0.5492197904738475,0.09143066878722012,-0.000582481848820815,-0.0009689228913831449,0.582481848820815,0.9689228913831449,0,INSERTION
25.360000000001165,8.69082778160847,4.891129311321111,0.6495968018671319,0.0,0.0,0.5498025544698917,0.0921993770142753,0.5492197904738475,0.09133066878722011,-0.0005826235144356096,-0.0009688244210009217,0.5826235144356096,0.9688244210009217,0,INSERTION
25.370000000001166,8.691836973491247,4.890767490195545,0.6494557812496041,0.0,0.0,0.5498026916781303,0.09209924762346866,0.5492197904738475,0.09123066878722011,-0.0005827639960441777,-0.0009687082270551928,0.5827639960441777,0.9687082270551928,0,INSERTION
25.380000000001168,8.692838507253136,4.890402254519457,0.6493145357349268,0.0,0.0,0.5498028238846213,0.09199910889787141,0.5492197904738475,0.0911306687872201,-0.0005829012042828374,-0.0009685788362485542,0.5829012042828374,0.9685788362485542,0,INSERTION
25.39000000000117,8.69383301762414,4.8900339198499685,0.6491730832852971,0.0,0.0,0.5498029496938043,0.09189896409562917,0.5492197904738475,0.0910306687872201,-0.0005830334107738144,-0.0009684401106513085,0.5830334107738144,0.9684401106513085,0,INSERTION
25.40000000000117,8.694821148130238,4.889662793507212,0.6490314407066835,0.0,0.0,0.5498030680132999,0.0917988159305142,0.5492197904738475,0.0909306687872201,-0.0005831592199567748,-0.0009682953084090701,0.5831592199567748,0.9682953084090701,0,INSERTION
25.410000000001173,8.695803538179607,4.889289170833082,0.6488896237079748,0.0,0.0,0.5498031780236816,0.09169866662954324,0.5492197904738475,0.0908306687872201,-0.0005832775394524203,-0.0009681471432941013,0.5832775394524203,0.9681471432941013,0,INSERTION
